S.No,Name of MP (Shri/Smt/Dr./Ms/Prof./Adv.),State,Nodal District,Tenure of MP,Entitlement till his tenure,GOI Release (in Cr),Unreleased Amount (in Cr)
226,Roopa Ganguly,Nominated,SDMC,04.10.2016 to 24.04.2022,19.5,5,14.5
227,Mahesh Jethmalani,Nominated,NDMC,02.06.2021 to 13.07.2024,14.5,0,14.5
228,Narendra Jadhav,Nominated,Nashik,25.04.2016 to 24.04.2022,22,10,12
229,Shabhaji Shahu Chhatrapati,Nominated,Kolhapur,13.06.2016 to 03.05.2022,22,12.5,9.5
230,Sonal Mansingh,Nominated,Dang,14.07.2018 to 13.07.2024,22,5,17
231,Subramnaym swamy,Nominated,Mumbai Suburban,25.04.2016 to 24.04.2022,22,7.5,14.5
232,Ranjan Gogoi(Nominated MP),Nominated,Kamrup Metro,17.03.2020 to 16.03.2026,22,2,20
233,Rakesh Kumar,Nominated,Begusarai,14.07.2018 to 13.07.2024,9.5,5,4.5
234,M C Mary Kom,Nominated,Outer Manipur,25.04.2016 to 24.04.2022,22,17.5,4.5
235,Suresh Gopi,Nominated,Thiruvananthapuram,25.04.2016 to24.04.2022,22,17.5,4.5
236,Ram Shakal,Nominated,Mirzapur,14.07.2018 to 13.07.2024,22,9.5,12.5
237,Swapan Das Gupta,Nominated,Nodal District Awaited,02.06.2021 to 24.04.2022,2,0,2
